[INFO][Friday, 30 Mar 2018 06:04:23 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 324
[ERROR][Friday, 30 Mar 2018 06:04:37 GMT] FILE [19] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/blogger-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:37 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:37 GMT] FILE [20] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/buffer-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:38 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:38 GMT] FILE [21] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/buffer-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:39 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:39 GMT] FILE [22] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/chrome-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:39 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:39 GMT] FILE [23] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/chrome-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:40 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:40 GMT] FILE [24] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/codepen-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:40 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:40 GMT] FILE [25] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/codepen-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:41 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:41 GMT] FILE [26] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/dailymotion-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:41 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:41 GMT] FILE [27] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/dailymotion-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:42 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:42 GMT] FILE [28] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/dribbble-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:42 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:42 GMT] FILE [29] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/dribbble-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:43 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:43 GMT] FILE [30] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/drive-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:43 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:43 GMT] FILE [31] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/drive-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:44 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:44 GMT] FILE [32] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/dropbox-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:44 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:44 GMT] FILE [33] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/dropbox-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:45 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:45 GMT] FILE [34] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/envato-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:45 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:45 GMT] FILE [35] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/envato-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:46 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:46 GMT] FILE [36] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/evernote-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:46 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:46 GMT] FILE [37] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/evernote-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:47 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:47 GMT] FILE [38] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/facebook-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:47 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:47 GMT] FILE [39] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/facebook-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:48 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:48 GMT] FILE [40] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/fancy-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:48 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:48 GMT] FILE [41] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/fancy-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:49 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:49 GMT] FILE [42] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/feedly-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:49 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:49 GMT] FILE [43] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/feedly-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:50 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:50 GMT] FILE [44] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/firefox-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:50 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:50 GMT] FILE [45] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/firefox-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:51 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:51 GMT] FILE [46] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/flickr-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:51 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:51 GMT] FILE [47] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/flickr-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:52 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:52 GMT] FILE [48] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/foursquare-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:52 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:52 GMT] FILE [49] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/foursquare-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:53 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:53 GMT] FILE [50] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/github-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:54 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:54 GMT] FILE [51] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/github-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:54 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:54 GMT] FILE [52] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/google-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:55 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:55 GMT] FILE [53] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/google-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:55 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:55 GMT] FILE [54] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/googleplus-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:56 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:56 GMT] FILE [55] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/googleplus-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:56 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:56 GMT] FILE [56] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/hanghout-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:57 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:57 GMT] FILE [57] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/hanghout-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:57 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:57 GMT] FILE [58] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/instagram-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:58 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:58 GMT] FILE [59] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/instagram-color.svg
